filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF18acrdmmw_20181214_LT_0.ascii,ZTF18acrdmmw,3.90313258519963,-1.231,10.893,166.912,0.033,0.054,1.839,1.592,26.667,10.575,,normal
ZTF18acrukkl_20180918_NTT_0.ascii,ZTF18acrukkl,-4.06340142916166,,,,,,,,,,5.634,91T-like
ZTF18acslpba_20181209_SEDm_0.ascii,ZTF18acslpba,-2.10421294360049,-0.97,32.781,123.441,0.02,0.02,0.348,0.162,1.035,0.089,,04gs-like
ZTF18acuimze_20181222_SEDm_0.ascii,ZTF18acuimze,3.65663469759842,,,,,,,,,,6.224,SN Ia
ZTF18acurlbj_20181213_SEDm_0.ascii,ZTF18acurlbj,-4.84039348060307,,,,,,,,,,5.797,normal
ZTF18acutfne_20181215_P200_0.ascii,ZTF18acutfne,-4.67098641180168,-0.963,17.996,80.767,0.023,0.026,1.801,3.571,7.215,17.265,,normal
ZTF18acwwonp_20181229_SEDm_0.ascii,ZTF18acwwonp,-3.49818171216178,-0.917,15.118,70.395,0.02,0.021,1.718,0.724,4.815,2.409,,normal
ZTF18acwwowy_20181229_SEDm_0.ascii,ZTF18acwwowy,-1.23104188419595,,,,,,,,,,8.176,normal
ZTF18acwyqeg_20181222_SEDm_0.ascii,ZTF18acwyqeg,-1.93266814697488,,,,,,,,,,13.032,normal
ZTF18acyymoy_20180522_NTT_0.ascii,ZTF18acyymoy,-4.60875783623749,-1.01,28.184,134.239,0.02,0.02,1.778,0.822,7.21,3.55,,normal
ZTF18aczemzj_20181229_SEDm_0.ascii,ZTF18aczemzj,-0.631874246441819,-1.095,12.924,68.291,0.021,0.021,1.422,1.282,4.374,4.766,,normal
ZTF18aczotxi_20190104_SEDm_0.ascii,ZTF18aczotxi,-0.724671299091799,-0.855,6.727,52.43,0.063,0.063,0.596,0.898,6.271,7.945,,normal
ZTF18aczrafz_20190103_Lick-3m_0.ascii,ZTF18aczrafz,0.386454165722773,-1.017,10.372,65.001,0.02,0.02,0.826,0.549,3.862,2.655,,normal
ZTF18adaifep_20190104_SEDm_0.ascii,ZTF18adaifep,-1.64759537205222,,,,,,,,,,5.673,normal
ZTF18adalarn_20190103_Lick-3m_0.ascii,ZTF18adalarn,-2.8891620923222,,,,,,,,,,5.999,SN Ia
ZTF18adaruzw_20190112_P200_0.ascii,ZTF18adaruzw,3.9177652480384900,-1.055,28.162,113.75,0.064,0.064,1.573,2.265,4.466,6.938,,normal
ZTF18adasopt_20181231_WHT_0.ascii,ZTF18adasopt,-4.92955404406122,-0.999,10.302,84.465,0.064,0.063,0.385,1.973,2.211,8.739,,normal
ZTF18adaylyq_20190104_SEDm_0.ascii,ZTF18adaylyq,-2.33414033763391,,,,,,,,,,11.996,SN Ia
ZTF18adbckox_20190104_SEDm_0.ascii,ZTF18adbckox,-4.85005985842057,,,,,,,,,,6.824,99aa-like
ZTF19aaafica_20190102_LT_0.ascii,ZTF19aaafica,-4.96676140714427,-0.937,40.649,127.112,0.021,0.021,1.814,2.701,3.227,4.485,,91bg-like
ZTF19aaaonuk_20190114_NTT_0.ascii,ZTF19aaaonuk,4.25911259895831,-0.809,35.868,86.003,0.025,0.022,0.724,1.502,0.983,2.561,,91bg-like
ZTF19aaarhtg_20200719_Lick-3m_0.ascii,ZTF19aaarhtg,1.44910488237143,,,,,,,,,,4.73,SN Ia
ZTF19aabyppp_20190126_P200_0.ascii,ZTF19aabyppp,0.309983636333031,-0.821,7.945,110.811,0.073,0.027,2.261,0.736,31.674,7.537,,SN Ia
ZTF19aabyuze_20190127_Lick-3m_0.ascii,ZTF19aabyuze,2.10771878416614,,,,,,,,,,5.169,91T-like
ZTF19aadmjtn_20190126_P200_0.ascii,ZTF19aadmjtn,-2.01199299940189,-0.823,9.826,113.335,0.023,0.027,1.109,0.607,7.458,4.739,,normal
ZTF19aadoocn_20190128_Magellan-Clay_0.ascii,ZTF19aadoocn,-1.24572359752179,,,,,,,,,,3.318,99aa-like
ZTF19aadsyop_20190204_SNIFS_0.ascii,ZTF19aadsyop,3.72699796704651,-1.222,8.146,135.976,0.06,0.031,1.502,0.933,20.298,7.337,,SN Ia
ZTF19aafwrhf_20191220_SEDm_0.ascii,ZTF19aafwrhf,0.150911392737598,-1.257,3.46,126.869,0.199,0.198,2.214,2.185,55.541,50.145,,SN Ia
ZTF19aagkfvq_20200518_LT_0.ascii,ZTF19aagkfvq,3.52613347601231,-1.041,4.595,79.539,0.065,0.064,0.295,0.662,2.967,8.079,,SN Ia
ZTF19aahsnmq_20190220_SEDm_0.ascii,ZTF19aahsnmq,-1.76494408874783,,,,,,,,,,9.789,normal
ZTF19aajxhwa_20190226_SEDm_0.ascii,ZTF19aajxhwa,0.392884962107915,,,,,,,,,,6.24,normal
ZTF19aajxwnz_20190301_Ekar_0.ascii,ZTF19aajxwnz,-2.14420392322781,-0.919,6.62,122.009,0.025,0.024,0.612,0.717,6.832,7.691,,normal
ZTF19aakiwxx_20190220_SEDm_0.ascii,ZTF19aakiwxx,-2.73860475855535,,,,,,,,,,22.165,normal
ZTF19aakljys_20190301_Ekar_0.ascii,ZTF19aakljys,3.32004361575961,-1.033,21.281,112.286,0.021,0.023,1.691,1.27,8.503,4.482,,normal
ZTF19aaklquv_20190301_Ekar_0.ascii,ZTF19aaklquv,1.76505930257542,-1.218,9.403,105.987,0.029,0.032,1.088,1.862,11.739,10.394,,normal
ZTF19aakoasy_20190307_Keck_0.ascii,ZTF19aakoasy,0.365388229440376,-1.175,11.599,108.378,0.02,0.02,0.314,0.325,1.772,1.964,,normal
ZTF19aakobov_20190302_SNIFS_0.ascii,ZTF19aakobov,-4.48762913754672,,,,,,,,,,16.243,normal
ZTF19aakozyp_20190307_NTT_0.ascii,ZTF19aakozyp,-3.38887864495107,,,,,,,,,,6.647,99aa-like
ZTF19aalvaxt_20190316_Lick-3m_0.ascii,ZTF19aalvaxt,-2.96088925492641,,,,,,,,,,2.517,91T-like
ZTF19aalveag_20190316_SEDm_0.ascii,ZTF19aalveag,0.47553860763613,-1.078,16.195,92.133,0.023,0.026,1.957,1.276,7.848,7.118,,normal
ZTF19aambfxc_20200209_SEDm_0.ascii,ZTF19aambfxc,-1.19377669977938,,,,,,,,,,11.544,SN Ia
ZTF19aamhhae_20190327_SEDm_0.ascii,ZTF19aamhhae,-0.695656817050469,,,,,,,,,,20.456,SN Ia
ZTF19aamhhgu_20190325_SEDm_0.ascii,ZTF19aamhhgu,-0.962341645552274,-1.014,27.021,99.853,0.02,0.021,0.691,1.768,2.369,5.016,,normal
ZTF19aamkdtq_20190316_P200_0.ascii,ZTF19aamkdtq,1.94029063974263,,,,,,,,,,5.178,SN Ia
ZTF19aampqcq_20190331_Plaskett_0.ascii,ZTF19aampqcq,0.273331662692014,,,,,,,,,,7.052,SN Ia
ZTF19aamrdmm_20190316_Lick-3m_0.ascii,ZTF19aamrdmm,-4.13741691820188,,,,,,,,,,6.414,99aa-like
ZTF19aamrnyv_20190327_SEDm_0.ascii,ZTF19aamrnyv,1.82632014395556,,,,,,,,,,23.543,SN Ia
ZTF19aanbfaw_20190330_SEDm_0.ascii,ZTF19aanbfaw,-1.59620259058143,,,,,,,,,,22.342,normal
ZTF19aaneugz_20190402_SEDm_0.ascii,ZTF19aaneugz,-3.05555760568103,-1.148,9.794,95.248,0.021,0.022,0.867,0.795,3.408,3.976,,SN Ia
ZTF19aanjlwx_20190402_SEDm_0.ascii,ZTF19aanjlwx,-1.0679701007096,,,,,,,,,,10.005,99aa-like
ZTF19aanuhox_20190408_SEDm_0.ascii,ZTF19aanuhox,-4.4163469823201,-0.897,4.713,51.805,0.02,0.02,0.195,0.03,3.715,0.365,,normal
ZTF19aanxgrz_20190411_SEDm_0.ascii,ZTF19aanxgrz,2.25266747463455,-0.97,38.384,111.682,0.02,0.02,0.401,1.059,0.616,2.329,,86G-like
ZTF19aanyuyh_20200728_LT_0.ascii,ZTF19aanyuyh,-1.26634242271359,,,,,,,,,,3.778,SN Ia
ZTF19aaomkvl_20190413_SEDm_0.ascii,ZTF19aaomkvl,-3.57597263311035,,,,,,,,,,14.557,normal
ZTF19aaozpew_20190423_SEDm_0.ascii,ZTF19aaozpew,1.70845428291872,,,,,,,,,,7.001,99aa-like
ZTF19aaphmto_20190412_SEDm_0.ascii,ZTF19aaphmto,-4.62573600627968,,,,,,,,,,14.968,normal
ZTF19aaqtyku_20190420_NOT_0.ascii,ZTF19aaqtyku,0.428658179945875,,,,,,,,,,12.495,normal
ZTF19aaraxhh_20190427_LT_0.ascii,ZTF19aaraxhh,-4.80222044709625,,,,,,,,,,11.658,99aa-like
ZTF19aardunx_20190423_SEDm_0.ascii,ZTF19aardunx,-4.99783044804236,-1.133,11.599,112.079,0.023,0.02,0.276,0.638,1.337,2.657,,normal
ZTF19aarhxgn_20190508_LT_0.ascii,ZTF19aarhxgn,0.962662309895334,,,,,,,,,,5.526,91T-like
